"row_names" "tailnum" "year" "type" "manufacturer" "model" "engines" "seats" "speed" "engine"
"1" "1" "N10156" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"2" "2" "N102UW" 1998 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"3" "3" "N103US" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"4" "4" "N104UW" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"5" "5" "N10575" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"6" "6" "N105UW" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"7" "7" "N107US" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"8" "8" "N108UW" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"9" "9" "N109UW" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"10" "10" "N110UW" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"11" "11" "N11106" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"12" "12" "N11107" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"13" "13" "N11109" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"14" "14" "N11113" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"15" "15" "N11119" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"16" "16" "N11121" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"17" "17" "N11127" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"18" "18" "N11137" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"19" "19" "N11140" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"20" "20" "N11150" 2003 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"21" "21" "N11155" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"22" "22" "N11164" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"23" "23" "N11165" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"24" "24" "N11176" 2004 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"25" "25" "N11181" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"26" "26" "N11184" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"27" "27" "N11187" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"28" "28" "N11189" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"29" "29" "N11191" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"30" "30" "N11192" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"31" "31" "N11193" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"32" "32" "N11194" 2005 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"33" "33" "N11199" 2006 "Fixed wing multi engine" "EMBRAER" "EMB-145XR" 2 55 NA "Turbo-fan"
"34" "34" "N111US" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"35" "35" "N11206" 2000 "Fixed wing multi engine" "BOEING" "737-824" 2 149 NA "Turbo-fan"
"36" "36" "N112US" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"37" "37" "N113UW" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"38" "38" "N114UW" 1999 "Fixed wing multi engine" "AIRBUS INDUSTRIE" "A320-214" 2 182 NA "Turbo-fan"
"39" "39" "N11535" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"40" "40" "N11536" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"41" "41" "N11539" 2001 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"42" "42" "N11544" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
"43" "43" "N11547" 2002 "Fixed wing multi engine" "EMBRAER" "EMB-145LR" 2 55 NA "Turbo-fan"
