"origin" "dest" "n"
"1" "JFK" "LAX" 11262
"2" "LGA" "ATL" 10263
"3" "LGA" "ORD" 8857
"4" "JFK" "SFO" 8204
"5" "LGA" "CLT" 6168
"6" "EWR" "ORD" 6100
"7" "JFK" "BOS" 5898
"8" "LGA" "MIA" 5781
"9" "JFK" "MCO" 5464
"10" "EWR" "BOS" 5327
"11" "EWR" "SFO" 5127
"12" "LGA" "DTW" 5040
"13" "EWR" "CLT" 5026
"14" "EWR" "ATL" 5022
"15" "EWR" "MCO" 4941
"16" "EWR" "LAX" 4912
"17" "LGA" "DFW" 4858
"18" "JFK" "SJU" 4752
"19" "LGA" "DCA" 4716
"20" "LGA" "BOS" 4283
"21" "JFK" "FLL" 4254
"22" "LGA" "FLL" 4008
"23" "JFK" "LAS" 3987
"24" "EWR" "IAH" 3973
"25" "EWR" "FLL" 3793
"26" "LGA" "MSP" 3713
"27" "LGA" "DEN" 3704
"28" "LGA" "MCO" 3677
"29" "JFK" "BUF" 3582
"30" "LGA" "RDU" 3581
"31" "JFK" "MIA" 3314
"32" "JFK" "DCA" 3270
"33" "LGA" "BNA" 3267
"34" "EWR" "DTW" 3178
"35" "EWR" "DFW" 3148
"36" "JFK" "RDU" 3100
"37" "JFK" "TPA" 2987
"38" "LGA" "IAH" 2951
"39" "JFK" "CLT" 2870
"40" "EWR" "DEN" 2859
"41" "EWR" "PHX" 2723
"42" "EWR" "CVG" 2673
"43" "JFK" "IAD" 2661
"44" "EWR" "MIA" 2633
"45" "EWR" "STL" 2516
"46" "LGA" "PBI" 2464
"47" "EWR" "MSP" 2377
"48" "EWR" "PBI" 2351
"49" "EWR" "BNA" 2336
"50" "EWR" "TPA" 2334
"51" "JFK" "ORD" 2326
"52" "LGA" "TPA" 2145
"53" "JFK" "SLC" 2113
"54" "LGA" "CLE" 2112
"55" "JFK" "SEA" 2092
"56" "LGA" "MDW" 2070
"57" "LGA" "CMH" 2058
"58" "EWR" "MDW" 2043
"59" "EWR" "LAS" 2010
"60" "JFK" "PHX" 1933
"61" "JFK" "ATL" 1930
"62" "EWR" "SEA" 1831
"63" "LGA" "STL" 1822
"64" "LGA" "IAD" 1803
"65" "EWR" "CLE" 1754
"66" "JFK" "PBI" 1739
"67" "EWR" "DCA" 1719
"68" "JFK" "ROC" 1679
"69" "EWR" "RIC" 1667
"70" "JFK" "MSY" 1633
"71" "JFK" "SAN" 1603
"72" "LGA" "MKE" 1525
"73" "EWR" "RDU" 1482
"74" "JFK" "AUS" 1471
"75" "EWR" "RSW" 1437
